batter_id,batter_name,year,team,avg,G,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E,height/weight,year_born,position,career,starting_salary,OPS
0,가르시아,2018,LG,0.350,7,20,1,7,1,0,1,11,5,0,0,2,0,3,1,0.55,0.409,1,177cm/93kg,1985년 04월 12일,내야수(우투우타),쿠바 Ciego de Avila Maximo Gomez Baez(대),,0.9590000000000001
1,강경학,2011,한화,0.000,4,2,2,0,0,0,0,0,1,0,1,0,2,1,0,0.0,0.5,0,180cm/72kg,1992년 08월 11일,내야수(우투좌타),광주대성초-광주동성중-광주동성고,10000만원,0.5
1,강경학,2014,한화,-,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,0,180cm/72kg,1992년 08월 11일,내야수(우투좌타),광주대성초-광주동성중-광주동성고,10000만원,
1,강경학,2015,한화,0.130,10,23,3,3,0,0,0,3,1,3,0,4,1,9,0,0.13,0.28600000000000003,2,180cm/72kg,1992년 08월 11일,내야수(우투좌타),광주대성초-광주동성중-광주동성고,10000만원,0.416
1,강경학,2016,한화,0.188,14,32,4,6,1,1,0,9,2,1,2,0,1,10,0,0.281,0.212,0,180cm/72kg,1992년 08월 11일,내야수(우투좌타),광주대성초-광주동성중-광주동성고,10000만원,0.493
1,강경학,2017,한화,0.222,11,36,10,8,0,0,2,14,4,0,0,3,0,10,0,0.389,0.282,1,180cm/72kg,1992년 08월 11일,내야수(우투좌타),광주대성초-광주동성중-광주동성고,10000만원,0.6709999999999999
2,강구성,2013,NC,0.000,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,180cm/82kg,1993년 06월 09일,외야수(우투좌타),관산초-부천중-야탑고-NC-상무,9000만원,0.0
2,강구성,2016,NC,0.000,3,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0,0.5,0,180cm/82kg,1993년 06월 09일,외야수(우투좌타),관산초-부천중-야탑고-NC-상무,9000만원,0.5
2,강구성,2017,NC,1.000,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1.0,1.0,0,180cm/82kg,1993년 06월 09일,외야수(우투좌타),관산초-부천중-야탑고-NC-상무,9000만원,2.0
69,김태완,2006,한화,0.200,10,15,0,3,0,0,0,3,3,0,0,1,1,5,1,0.2,0.278,0,189cm/105kg,1984년 01월 27일,내야수(우투우타),양목초-신월중-중앙고-성균관대-한화,11000만원,0.478
69,김태완,2007,한화,0.318,8,22,4,7,3,0,3,19,7,0,0,4,0,4,0,0.8640000000000001,0.423,0,189cm/105kg,1984년 01월 27일,내야수(우투우타),양목초-신월중-중앙고-성균관대-한화,11000만원,1.287
69,김태완,2008,한화,0.375,10,24,3,9,1,0,1,13,3,0,0,2,1,2,2,0.542,0.444,0,189cm/105kg,1984년 01월 27일,내야수(우투우타),양목초-신월중-중앙고-성균관대-한화,11000만원,0.986
69,김태완,2009,한화,0.320,10,25,5,8,3,0,1,14,6,0,0,6,0,2,1,0.56,0.452,1,189cm/105kg,1984년 01월 27일,내야수(우투우타),양목초-신월중-중앙고-성균관대-한화,11000만원,1.012
69,김태완,2010,한화,0.400,2,5,2,2,0,1,0,4,1,0,0,0,0,1,0,0.8,0.4,1,189cm/105kg,1984년 01월 27일,내야수(우투우타),양목초-신월중-중앙고-성균관대-한화,11000만원,1.2000000000000002
69,김태완,2013,한화,0.250,9,28,3,7,0,0,0,7,1,0,0,7,1,5,1,0.25,0.417,0,189cm/105kg,1984년 01월 27일,내야수(우투우타),양목초-신월중-중앙고-성균관대-한화,11000만원,0.667
69,김태완,2014,한화,0.125,10,16,1,2,0,0,0,2,1,0,0,3,0,4,0,0.125,0.263,0,189cm/105kg,1984년 01월 27일,내야수(우투우타),양목초-신월중-중앙고-성균관대-한화,11000만원,0.388
69,김태완,2016,한화,0.000,3,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0.0,0.25,0,189cm/105kg,1984년 01월 27일,내야수(우투우타),양목초-신월중-중앙고-성균관대-한화,11000만원,0.25
69,김태완,2017,넥센,0.370,12,27,2,10,1,0,1,14,14,0,0,2,0,8,1,0.519,0.364,1,189cm/105kg,1984년 01월 27일,내야수(우투우타),양목초-신월중-중앙고-성균관대-한화,11000만원,0.883
69,김태완,2018,넥센,0.375,5,8,2,3,1,0,1,7,3,0,0,2,0,3,0,0.875,0.5,0,189cm/105kg,1984년 01월 27일,내야수(우투우타),양목초-신월중-중앙고-성균관대-한화,11000만원,1.375
3,강민국,2014,NC,0.000,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,176cm/80kg,1992년 01월 10일,내야수(우투우타),송정동초-충장중-광주제일고-동국대-NC-상무,20000만원,0.0
