ID,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,termDeposit
T1,41,technician,single,university.degree,no,no,no,cellular,nov,fri,903,3,999,1,failure,-0.1,93.2,-42,4.021,5195.8,no
T2,57,retired,single,high.school,no,no,no,telephone,jun,fri,74,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
T3,34,technician,married,professional.course,unknown,yes,no,cellular,jul,wed,75,5,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
T4,54,management,married,university.degree,no,no,no,cellular,nov,mon,59,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no
T5,49,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,252,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
T6,73,retired,married,unknown,no,yes,no,telephone,mar,mon,659,1,999,0,nonexistent,-1.8,93.369,-34.8,0.652,5008.7,yes
T7,40,technician,married,professional.course,unknown,no,no,telephone,jun,mon,21,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
T8,34,entrepreneur,married,university.degree,unknown,yes,no,cellular,nov,mon,2462,2,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,yes
T9,56,entrepreneur,married,university.degree,no,yes,no,cellular,apr,thu,266,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
T10,41,management,married,university.degree,no,yes,no,telephone,may,wed,205,7,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
T11,46,blue-collar,married,professional.course,no,no,no,cellular,nov,fri,383,1,999,0,nonexistent,-1.1,94.767,-50.8,1.028,4963.6,no
T12,37,admin.,married,high.school,no,unknown,unknown,cellular,nov,thu,518,2,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
T13,26,blue-collar,single,basic.9y,no,yes,no,cellular,may,wed,200,2,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,no
T14,41,management,married,high.school,unknown,yes,no,cellular,may,tue,527,2,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no
T15,55,technician,married,university.degree,no,yes,yes,cellular,may,thu,895,2,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,yes
T16,33,management,married,university.degree,no,no,no,telephone,aug,thu,201,1,6,2,success,-1.7,94.027,-38.3,0.899,4991.6,yes
T17,40,blue-collar,married,basic.9y,no,no,no,cellular,apr,thu,328,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
T18,26,management,single,university.degree,no,no,no,cellular,may,thu,715,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,yes
T19,57,technician,married,high.school,no,yes,no,cellular,may,mon,758,1,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,no
T20,28,blue-collar,single,university.degree,no,no,no,cellular,apr,tue,107,3,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,yes
T21,31,self-employed,married,university.degree,no,no,yes,telephone,may,thu,66,6,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
T22,56,management,divorced,university.degree,no,no,no,cellular,nov,wed,90,2,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,no
T23,46,technician,married,professional.course,unknown,no,no,cellular,aug,thu,166,3,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
T24,23,blue-collar,single,basic.9y,no,yes,no,cellular,jul,thu,268,5,999,1,failure,-1.7,94.215,-40.3,0.846,4991.6,yes
T25,43,services,married,high.school,no,yes,yes,cellular,jul,mon,1212,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,yes
T26,26,unemployed,single,university.degree,no,yes,no,cellular,apr,tue,184,1,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,yes
T27,52,admin.,divorced,university.degree,no,no,no,cellular,nov,tue,213,1,999,0,nonexistent,-3.4,92.649,-30.1,0.715,5017.5,yes
T28,27,admin.,married,university.degree,no,yes,no,cellular,jul,fri,494,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,yes
T29,33,blue-collar,divorced,basic.9y,no,no,no,cellular,jul,tue,134,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
T30,34,admin.,married,university.degree,no,yes,no,cellular,may,wed,95,1,999,1,failure,-1.8,92.893,-46.2,1.27,5099.1,no
T31,40,entrepreneur,married,basic.9y,no,yes,no,cellular,apr,fri,1013,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
T32,41,blue-collar,married,basic.9y,no,yes,no,cellular,may,tue,253,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,yes
T33,31,admin.,single,university.degree,no,no,no,cellular,may,wed,196,2,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,no
T34,64,management,divorced,university.degree,no,no,yes,cellular,dec,thu,421,1,999,1,failure,-3,92.713,-33,0.72,5023.5,no
T35,33,blue-collar,married,basic.9y,no,yes,yes,cellular,may,mon,239,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
T36,34,technician,single,university.degree,no,yes,no,cellular,aug,mon,156,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no
T37,28,blue-collar,single,basic.6y,unknown,yes,no,telephone,may,tue,331,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
T38,53,blue-collar,married,basic.4y,unknown,yes,no,telephone,aug,tue,1186,4,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,yes
T39,48,blue-collar,married,professional.course,no,no,no,telephone,jul,thu,268,1,999,0,nonexistent,-1.7,94.215,-40.3,0.899,4991.6,yes
T40,49,management,married,university.degree,no,yes,no,telephone,jun,mon,153,1,999,0,nonexistent,-2.9,92.963,-40.8,1.266,5076.2,no
T41,30,services,single,high.school,no,yes,no,cellular,jul,thu,70,6,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
T42,33,admin.,married,high.school,unknown,yes,no,telephone,may,fri,179,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
T43,33,admin.,single,high.school,no,no,no,cellular,apr,fri,405,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
T44,53,technician,married,professional.course,unknown,no,yes,cellular,jul,fri,118,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
T45,38,admin.,divorced,university.degree,no,yes,no,telephone,oct,mon,293,3,999,0,nonexistent,-1.1,94.601,-49.5,1.032,4963.6,no
T46,35,management,single,high.school,no,yes,no,cellular,may,fri,345,2,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,no
T47,50,blue-collar,married,basic.9y,no,yes,no,cellular,apr,mon,249,3,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
T48,98,retired,married,basic.4y,unknown,yes,no,cellular,oct,fri,476,1,2,2,success,-3.4,92.431,-26.9,0.73,5017.5,yes
T49,43,admin.,single,high.school,no,no,no,cellular,jul,tue,120,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
T50,30,student,single,unknown,no,no,no,cellular,dec,wed,343,1,4,2,success,-3,92.713,-33,0.715,5023.5,yes
T51,52,technician,married,university.degree,no,no,no,cellular,may,thu,211,1,3,4,success,-1.8,93.876,-40,0.677,5008.7,yes
T52,38,blue-collar,single,high.school,no,no,no,telephone,mar,tue,450,3,6,2,success,-1.8,93.369,-34.8,0.652,5008.7,yes
T53,36,management,married,university.degree,no,yes,no,cellular,jun,thu,156,1,999,1,failure,-2.9,92.963,-40.8,1.26,5076.2,yes
T54,28,blue-collar,married,basic.4y,no,no,no,cellular,may,mon,52,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
T55,47,admin.,divorced,high.school,no,yes,no,telephone,jun,mon,302,1,999,0,nonexistent,-1.7,94.055,-39.8,0.711,4991.6,yes
T56,37,entrepreneur,single,university.degree,no,yes,no,telephone,may,mon,744,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
T57,42,management,married,basic.9y,no,yes,no,cellular,jul,thu,253,1,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
T58,42,blue-collar,married,basic.9y,unknown,yes,no,telephone,jun,mon,175,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
T59,28,student,single,unknown,no,no,no,cellular,aug,thu,700,4,999,1,failure,-2.9,92.201,-31.4,0.829,5076.2,yes
T60,40,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,thu,124,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no
T61,64,retired,married,university.degree,no,no,no,cellular,mar,tue,139,2,6,1,success,-1.8,93.369,-34.8,0.652,5008.7,yes
T62,40,blue-collar,divorced,unknown,no,yes,no,cellular,jul,tue,160,6,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
T63,31,admin.,single,university.degree,no,yes,no,cellular,nov,thu,260,1,999,0,nonexistent,-1.1,94.767,-50.8,1.041,4963.6,yes
T64,31,technician,married,professional.course,no,no,no,telephone,jun,fri,163,2,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
T65,20,student,single,unknown,no,no,no,cellular,may,tue,202,2,12,1,success,-1.8,93.876,-40,0.697,5008.7,yes
