ID,termDeposit
T1,no
T2,yes
T3,yes
T4,no
T5,no
T6,yes
T7,yes
T8,no
T9,no
T10,yes
T11,no
T12,no
T13,yes
T14,yes
T15,yes
T16,no
T17,yes
T18,no
T19,yes
T20,no
T21,yes
T22,yes
T23,yes
T24,no
T25,no
T26,no
T27,no
T28,yes
T29,no
T30,yes
T31,no
T32,yes
T33,no
T34,no
T35,yes
T36,yes
T37,yes
T38,yes
T39,yes
T40,yes
T41,yes
T42,yes
T43,no
T44,yes
T45,yes
T46,yes
T47,no
T48,no
T49,yes
T50,no
T51,yes
T52,no
T53,no
T54,no
T55,yes
T56,no
T57,no
T58,no
T59,yes
T60,no
T61,yes
T62,yes
T63,yes
T64,no
T65,no
T66,no
T67,no
T68,yes
T69,yes
T70,yes
T71,no
T72,no
T73,no
T74,no
T75,no
T76,no
T77,yes
T78,no
T79,no
T80,yes
T81,no
T82,no
T83,no
T84,no
T85,yes
T86,yes
T87,no
T88,no
T89,yes
T90,yes
T91,yes
T92,yes
T93,no
T94,yes
T95,yes
T96,no
T97,no
T98,yes
T99,no
T100,yes
T101,yes
T102,no
T103,yes
T104,yes
T105,yes
T106,no
T107,no
T108,no
T109,no
T110,no
T111,yes
T112,no
T113,yes
T114,yes
T115,yes
T116,no
T117,yes
T118,no
T119,yes
T120,yes
T121,no
T122,yes
T123,no
T124,yes
T125,yes
T126,yes
T127,no
T128,no
T129,yes
T130,yes
T131,yes
T132,no
T133,no
T134,no
T135,yes
T136,no
T137,no
T138,yes
T139,no
T140,no
T141,no
T142,no
T143,no
T144,yes
T145,no
T146,no
T147,yes
T148,no
T149,yes
T150,no
T151,no
T152,yes
T153,yes
T154,yes
T155,no
T156,yes
T157,yes
T158,no
T159,yes
T160,yes
T161,yes
T162,no
T163,no
T164,no
T165,yes
T166,no
T167,yes
T168,yes
T169,no
T170,yes
T171,yes
T172,no
T173,yes
T174,no
T175,yes
T176,yes
T177,yes
T178,yes
T179,yes
T180,yes
T181,no
T182,no
T183,yes
T184,no
T185,no
T186,no
T187,yes
T188,yes
T189,yes
T190,no
T191,no
T192,yes
T193,no
T194,yes
T195,yes
T196,no
T197,no
T198,no
T199,no
T200,yes
T201,yes
T202,no
T203,yes
T204,yes
T205,yes
T206,no
T207,yes
T208,yes
T209,no
T210,yes
T211,no
T212,yes
T213,yes
T214,yes
T215,no
T216,yes
T217,yes
T218,yes
T219,no
T220,yes
T221,no
T222,yes
T223,no
T224,no
T225,no
T226,no
T227,no
T228,no
T229,no
T230,yes
T231,yes
T232,yes
T233,no
T234,yes
T235,no
T236,no
T237,yes
T238,yes
T239,yes
T240,yes
T241,yes
T242,yes
T243,yes
T244,yes
T245,yes
T246,yes
T247,no
T248,no
T249,yes
T250,no
T251,yes
T252,yes
T253,no
T254,no
T255,no
T256,no
T257,yes
T258,yes
T259,yes
T260,no
T261,no
T262,yes
T263,yes
T264,no
T265,yes
T266,yes
T267,yes
T268,no
T269,no
T270,no
T271,yes
T272,no
T273,yes
T274,yes
T275,yes
T276,yes
T277,yes
T278,no
T279,no
T280,yes
T281,no
T282,no
T283,no
T284,no
T285,yes
T286,no
T287,yes
T288,yes
T289,yes
T290,yes
T291,no
T292,yes
T293,yes
T294,no
T295,yes
T296,yes
T297,yes
T298,yes
T299,no
T300,no
T301,yes
T302,no
T303,no
T304,yes
T305,no
T306,no
T307,yes
T308,yes
T309,no
T310,no
T311,yes
T312,no
T313,yes
T314,no
T315,no
T316,no
T317,no
T318,no
T319,yes
T320,yes
T321,yes
T322,yes
T323,yes
T324,no
T325,yes
T326,no
T327,yes
T328,no
T329,no
T330,no
T331,no
T332,no
T333,yes
T334,yes
T335,no
T336,yes
T337,no
T338,yes
T339,yes
T340,yes
T341,yes
T342,no
T343,yes
T344,yes
T345,yes
T346,no
T347,yes
T348,yes
T349,yes
T350,no
T351,yes
T352,yes
T353,yes
T354,no
T355,no
T356,no
T357,no
T358,yes
T359,no
T360,no
T361,no
T362,no
T363,yes
T364,no
T365,no
T366,no
T367,no
T368,no
T369,yes
T370,no
T371,yes
T372,yes
T373,yes
T374,no
T375,no
T376,yes
T377,no
T378,no
T379,yes
T380,no
T381,no
T382,yes
T383,no
T384,yes
T385,no
T386,no
T387,yes
T388,no
T389,yes
T390,no
T391,yes
T392,yes
T393,yes
T394,no
T395,yes
T396,no
T397,no
T398,no
T399,no
T400,yes
T401,yes
T402,yes
T403,no
T404,yes
T405,yes
T406,yes
T407,no
T408,no
T409,yes
T410,yes
T411,no
T412,yes
T413,no
T414,yes
T415,no
T416,yes
T417,yes
T418,no
T419,yes
T420,no
T421,no
T422,yes
T423,yes
T424,yes
T425,yes
T426,no
T427,no
T428,yes
T429,yes
T430,yes
T431,yes
T432,yes
T433,no
T434,yes
T435,no
T436,yes
T437,no
T438,no
T439,no
T440,no
T441,yes
T442,yes
T443,yes
T444,no
T445,yes
T446,yes
T447,no
T448,no
T449,yes
T450,yes
T451,no
T452,no
T453,no
T454,no
T455,yes
T456,yes
T457,yes
T458,yes
T459,no
T460,yes
T461,no
T462,yes
T463,no
T464,no
T465,no
T466,no
T467,no
T468,no
T469,no
T470,no
T471,no
T472,yes
T473,yes
T474,no
T475,no
T476,yes
T477,no
T478,yes
T479,no
T480,yes
T481,no
T482,no
T483,yes
T484,yes
T485,yes
T486,no
T487,no
T488,yes
T489,no
T490,no
T491,no
T492,yes
T493,no
T494,yes
T495,no
T496,yes
T497,yes
T498,yes
T499,no
T500,yes
T501,no
T502,no
T503,yes
T504,yes
T505,no
T506,no
T507,no
T508,yes
T509,no
T510,yes
T511,yes
T512,no
T513,yes
T514,yes
T515,no
T516,no
T517,yes
T518,yes
T519,no
T520,no
T521,yes
T522,no
T523,no
T524,no
T525,no
T526,yes
T527,yes
T528,no
T529,yes
T530,no
T531,no
T532,yes
T533,no
T534,yes
T535,no
T536,no
T537,yes
T538,no
T539,no
T540,no
T541,yes
T542,no
T543,no
T544,no
T545,yes
T546,yes
T547,yes
T548,yes
T549,no
T550,yes
T551,no
