,"제목","저자","발행처"
<!-- 분류번호(11:문학, 6:인문과학, 5:사회과학, 4:자연과학) -->

문학
달러구트 꿈 백화점,이미예,북닻
요리코를 위해,노리즈키 린타로 지음,모모
명탐정을 위한 1분 추리,리플리 지음,위즈덤커넥트
데미안,헤르만 헤세 지음,스타북스
웨어하우스,롭 하트 지음,북로드



과학
'시간은 흐르지 않는다','카를로 로벨리 지음','쌤앤파커스'
'알아두면 쓸모 있는 과학 잡학상식',이연호 지음','팬덤북스'
'포스트 코로나 일상의 미래','과학기술정책연구원 지음','청림출판'
'아내를 모자로 착각한 남자','올리버 색스 지음',알마'
로봇 시대 일자리의 미래,제이슨 솅커 지음,미디어숲

인문
'유리멘탈을 위한 심리책','미즈시마 히로코 지음','갤리온'
나는 나답게 살기로 했다,손힘찬 지음,스튜디오오드리
알아두면 쓸 데 있는 신 잡학상식,온스토리편집부 지음,온스토리
부의 인문학,브라운스톤 지음,오픈마인드
노화의 종말,데이비드 실클레어,부키
나는 왜 참으려고만 할까?,이시하라 가즈코 지음,필름
홀로서기 심리학,라라 필딩 지음,메이븐
철학사 아는 척하기,데이브 로빈슨 지음,팬덤북스
다시 일어나는 용기,알프레드 아들러 지음,스타북스
가족의 두 얼굴,최광현,부키

사회
새로운 가난이 온다,김만권,헤다
비트코인과 블록체인,이병욱 지음,에이콘
주린이도 술술 읽는 친절한 주식책,최정희 지음,메이트북스
나의 첫 투자 수업,김정환 지음,트러스트북스
세계사 속 부의 대반전,장진현 지음,스마트북스
